R_fighter;B_fighter;Winner
Israel Adesanya;Paulo Costa;Israel Adesanya
Kai Kara-France;Brandon Royval;Brandon Royval
Shane Young;Ludovit Klein;Ludovit Klein
Diego Sanchez;Jake Matthews;Jake Matthews
Brad Riddell;Alex Da Silva;Brad Riddell
Dominick Reyes;Jan Blachowicz;Jan Blachowicz
Hakeem Dawodu;Zubaira Tukhugov;Hakeem Dawodu
William Knight;Aleksa Camur;William Knight
Khadis Ibragimov;Danilo Marques;Danilo Marques
Juan Espino;Jeff Hughes;Juan Espino
Johnny Walker;Ryan Spann;Johnny Walker
Mirsad Bektic;Damon Jackson;Damon Jackson
Colby Covington;Tyron Woodley;Colby Covington
Mackenzie Dern;Randa Markos;Mackenzie Dern
Jordan Espinosa;David Dvorak;David Dvorak
Kevin Holland;Darren Stewart;Kevin Holland
Khamzat Chimaev;Gerald Meerschaert;Khamzat Chimaev
Donald Cerrone;Niko Price;
Jessica-Rose Clark;Sarah Alpar;Jessica-Rose Clark
Darrick Minner;TJ Laramie;Darrick Minner
Journey Newson;Randy Costa;Randy Costa
Mayra Bueno Silva;Mara Romero Borella;Mayra Bueno Silva
Andre Ewell;Irwin Rivera;Andre Ewell
Tyson Nam;Jerome Rivera;Tyson Nam
Bobby Green;Alan Patrick;Bobby Green
Roosevelt Roberts;Kevin Croom;
Billy Quarantillo;Kyle Nelson;Billy Quarantillo
Julia Avila;Sijara Eubanks;Sijara Eubanks
Michelle Waterson;Angela Hill;Michelle Waterson
Roxanne Modafferi;Andrea Lee;Roxanne Modafferi
Ed Herman;Mike Rodriguez;Ed Herman
Ottman Azaitar;Khama Worthy;Ottman Azaitar
Alexandr Romanov;Roque Martinez;Alexandr Romanov
Brok Weaver;Jalin Turner;Jalin Turner
Bryan Barberena;Anthony Ivy;Bryan Barberena
Sabina Mazo;Justine Kish;Sabina Mazo
Ovince Saint Preux;Alonzo Menifield;Ovince Saint Preux
Brian Kelleher;Ray Rodriguez;Brian Kelleher
Michel Pereira;Zelim Imadaev;Michel Pereira
Viviane Araujo;Montana De La Rosa;Viviane Araujo
Andre Muniz;Bartosz Fabinski;Andre Muniz
Cole Smith;Hunter Azure;Hunter Azure
Alistair Overeem;Augusto Sakai;Alistair Overeem
Alessio Di Chirico;Zak Cummings;Zak Cummings
Anthony Smith;Aleksandar Rakic;Aleksandar Rakic
Ricardo Lamas;Bill Algeo;Ricardo Lamas
Robbie Lawler;Neil Magny;Neil Magny
Ji Yeon Kim;Alexa Grasso;Alexa Grasso
Alex Caceres;Austin Springer;Alex Caceres
Maki Pitolo;Impa Kasanganay;Impa Kasanganay
Sean Brady;Christian Aguilera;Sean Brady
Mallory Martin;Hannah Cifers;Mallory Martin
Polyana Viana;Emily Whitmire;Polyana Viana
Ike Villanueva;Jordan Wright;Jordan Wright
Carlton Minus;Matthew Semelsberger;Matthew Semelsberger
Daniel Rodriguez;Dwight Grant;Daniel Rodriguez
Marcin Prachnio;Mike Rodriguez;Mike Rodriguez
Amanda Lemos;Inoue Mizuki;Amanda Lemos
Mariya Agapova;Shana Dobson;Shana Dobson
Austin Hubbard;Joe Solecki;Joe Solecki
Pedro Munhoz;Frankie Edgar;Frankie Edgar
Timur Valiev;Trevin Jones;
Junior Dos Santos;Jairzinho Rozenstruik;Jairzinho Rozenstruik
Herbert Burns;Daniel Pineda;Daniel Pineda
Felice Herrig;Virna Jandiroba;Virna Jandiroba
Sean O'Malley;Marlon Vera;Marlon Vera
John Dodson;Merab Dvalishvili;Merab Dvalishvili
Stipe Miocic;Daniel Cormier;Stipe Miocic
TJ Brown;Danny Chavez;Danny Chavez
Jim Miller;Vinc Pichel;Vinc Pichel
Chris Daukaus;Parker Porter;Chris Daukaus
Kai Kamaka;Tony Kelley;Kai Kamaka
Ashley Yoder;Livinha Souza;Livinha Souza
