R_fighter;B_fighter;Winner
Elizeu Zaleski dos Santos;Nicolas Dalby;Nicolas Dalby
Lucas Martins;Mirsad Bektic;Mirsad Bektic
Chris Weidman;Vitor Belfort;Chris Weidman
Uriah Hall;Rafael Natal;Rafael Natal
John Dodson;Zach Makovsky;John Dodson
Anthony Johnson;Daniel Cormier;Daniel Cormier
Travis Browne;Andrei Arlovski;Andrei Arlovski
Dong Hyun Kim;Joshua Burkman;Dong Hyun Kim
Joseph Benavidez;John Moraga;Joseph Benavidez
Donald Cerrone;John Makdessi;Donald Cerrone
Islam Makhachev;Leo Kuntz;Islam Makhachev
Mike Pyle;Colby Covington;Colby Covington
Justin Scoggins;Josh Sampo;Justin Scoggins
Hyun Gyu Lim;Neil Magny;Neil Magny
Gegard Mousasi;Constantinos Philippou;Gegard Mousasi
Mark Eddiva;Levan Makashvili;Levan Makashvili
Tae Hyun Bang;Jon Tuck;Jon Tuck
Zhang Lipeng;Kajan Johnson;Kajan Johnson
Mark Munoz;Luke Barnatt;Mark Munoz
Phillipe Nover;Yui Chul Nam;Phillipe Nover
Frankie Edgar;Urijah Faber;Frankie Edgar
Roldan Sangcha'an;Jon Delos Reyes;Jon Delos Reyes
Li Jingliang;Dhiego Lima;Li Jingliang
Nolan Ticman;Yao Zhikui;Yao Zhikui
Guangyou Ning;Royston Wee;Guangyou Ning
Daniel Kelly;Sam Alvey;Sam Alvey
Stipe Miocic;Mark Hunt;Stipe Miocic
Jake Matthews;James Vick;James Vick
Anthony Perosh;Sean O'Connell;Sean O'Connell
Brad Tavares;Robert Whittaker;Robert Whittaker
Hatsu Hioki;Dan Hooker;Dan Hooker
Bec Rawlings;Lisa Ellis;Bec Rawlings
Kyle Noke;Jonavin Webb;Kyle Noke
Dylan Andrews;Brad Scott;Brad Scott
Alex Chambers;Kailin Curran;Alex Chambers
Alptekin Ozkilic;Ben Nguyen;Ben Nguyen
Vik Grujic;Brendan O'Reilly;Brendan O'Reilly
Demetrious Johnson;Kyoji Horiguchi;Demetrious Johnson
Patrick Cote;Joe Riggs;Patrick Cote
John Makdessi;Shane Campbell;John Makdessi
Michael Bisping;CB Dollaway;Michael Bisping
Yves Jabouin;Thomas Almeida;Thomas Almeida
Quinton Jackson;Fabio Maldonado;Quinton Jackson
Chad Laprise;Bryan Barberena;Chad Laprise
Alexis Davis;Sarah Kaufman;Alexis Davis
Olivier Aubin-Mercier;David Michaud;Olivier Aubin-Mercier
Nordine Taleb;Chris Clements;Nordine Taleb
Jessica Rakoczy;Valerie Letourneau;Valerie Letourneau
Randa Markos;Aisling Daly;Randa Markos
Jim Miller;Beneil Dariush;Beneil Dariush
Jacare Souza;Chris Camozzi;Jacare Souza
Ovince Saint Preux;Patrick Cummins;Ovince Saint Preux
Takeya Mizugaki;Aljamain Sterling;Aljamain Sterling
Lyoto Machida;Luke Rockhold;Luke Rockhold
Cub Swanson;Max Holloway;Max Holloway
Corey Anderson;Gian Villante;Gian Villante
Felice Herrig;Paige VanZant;Paige VanZant
Eddie Gordon;Chris Dempsey;Chris Dempsey
George Sullivan;Tim Means;Tim Means
Diego Brandao;Jimy Hettes;Diego Brandao
Joanne Calderwood;Maryna Moroz;Maryna Moroz
Jimi Manuwa;Jan Blachowicz;Jimi Manuwa
Damian Stasiak;Yaotzin Meza;Yaotzin Meza
Pawel Pawlak;Sheldon Westcott;Pawel Pawlak
Bartosz Fabinski;Garreth McLellan;Bartosz Fabinski
Sergio Moraes;Mickael Lebout;Sergio Moraes
Seth Baczynski;Leon Edwards;Leon Edwards
Gabriel Gonzaga;Mirko Filipovic;Mirko Filipovic
Daniel Omielanczuk;Anthony Hamilton;Anthony Hamilton
Izabela Badurek;Aleksandra Albu;Aleksandra Albu
Taylor Lapilus;Rocky Lee;Taylor Lapilus
Marcin Bandel;Stevie Ray;Stevie Ray
Jorge Masvidal;Al Iaquinta;Al Iaquinta
Chad Mendes;Ricardo Lamas;Chad Mendes
Gray Maynard;Alexander Yakovlev;Alexander Yakovlev
Michael Chiesa;Mitch Clarke;Michael Chiesa
Clay Guida;Robert Peralta;Clay Guida
Julianna Pena;Milana Dudieva;Julianna Pena
Dustin Poirier;Diego Ferreira;Dustin Poirier
Shamil Abdurakhimov;Timothy Johnson;Timothy Johnson
Liz Carmouche;Lauren Murphy;Liz Carmouche
Ron Stallings;Justin Jones;Ron Stallings
Leonardo Santos;Anthony Rocco Martin;Leonardo Santos
Amanda Nunes;Shayna Baszler;Amanda Nunes
Godofredo Pepey;Andre Fili;Godofredo Pepey
Gilbert Burns;Alex Oliveira;Gilbert Burns
Francisco Trinaldo;Akbarh Arreola;Francisco Trinaldo
Demian Maia;Ryan LaFlare;Demian Maia
Edimilson Souza;Katsunori Kikuno;Edimilson Souza
Erick Silva;Josh Koscheck;Erick Silva
Leonardo Mafra;Cain Carrizosa;Leonardo Mafra
Leandro Silva;Drew Dober;
Jorge de Oliveira;Christos Giagos;Christos Giagos
Bentley Syler;Fredy Serrano;Fredy Serrano
Elias Theodorou;Roger Narvaez;Elias Theodorou
Johny Hendricks;Matt Brown;Johny Hendricks
Carla Esparza;Joanna Jedrzejczyk;Joanna Jedrzejczyk
Ross Pearson;Sam Stout;Ross Pearson
Chris Cariaso;Henry Cejudo;Henry Cejudo
Roy Nelson;Alistair Overeem;Alistair Overeem
Anthony Pettis;Rafael Dos Anjos;Rafael Dos Anjos
Daron Cruickshank;Beneil Dariush;Beneil Dariush
Jake Lindsey;Joe Duffy;Joe Duffy
Sergio Pettis;Ryan Benoit;Ryan Benoit
Jared Rosholt;Josh Copeland;Jared Rosholt
Larissa Pacheco;Germaine de Randamie;Germaine de Randamie
Jake Ellenberger;Josh Koscheck;Jake Ellenberger
Dhiego Lima;Tim Means;Tim Means
Mark Munoz;Roan Carneiro;Roan Carneiro
Roman Salazar;Norifumi Yamamoto;
Tony Ferguson;Gleison Tibau;Tony Ferguson
Ronda Rousey;Cat Zingano;Ronda Rousey
Raquel Pennington;Holly Holm;Holly Holm
James Krause;Valmir Lazaro;Valmir Lazaro
Alan Jouban;Richard Walsh;Alan Jouban
Derrick Lewis;Ruan Potts;Derrick Lewis
Masio Fullen;Alex Torres;Masio Fullen
Cezar Ferreira;Sam Alvey;Sam Alvey
Santiago Ponzinibbio;Sean Strickland;Santiago Ponzinibbio
Iuri Alcantara;Frankie Saenz;Frankie Saenz
Antonio Silva;Frank Mir;Frank Mir
Rustam Khabilov;Adriano Martins;Adriano Martins
Jessica Andrade;Marion Reneau;Marion Reneau
Edson Barboza;Michael Johnson;Michael Johnson
William Macario;Matt Dwyer;Matt Dwyer
Tiago dos Santos e Silva;Mike de la Torre;Mike de la Torre
Douglas Silva de Andrade;Cody Gibson;Douglas Silva de Andrade
Ivan Jorge;Josh Shockley;Ivan Jorge
Michel Prazeres;Kevin Lee;Kevin Lee
Efrain Escudero;Rodrigo de Lima;Efrain Escudero
Benson Henderson;Brandon Thatch;Benson Henderson
Ray Borg;Chris Kelades;Ray Borg
Chas Skelly;Jim Alers;Chas Skelly
Neil Magny;Kiichi Kunimoto;Neil Magny
Daniel Kelly;Patrick Walsh;Daniel Kelly
Max Holloway;Cole Miller;Max Holloway
James Moontasri;Cody Pfister;James Moontasri
Zach Makovsky;Tim Elliott;Zach Makovsky
Ed Herman;Derek Brunson;Derek Brunson
Joe Lauzon;Al Iaquinta;Al Iaquinta
Jordan Mein;Thiago Alves;Thiago Alves
Tyron Woodley;Kelvin Gastelum;Tyron Woodley
Ian McCall;John Lineker;John Lineker
Anderson Silva;Nick Diaz;
Thales Leites;Tim Boetsch;Thales Leites
Miesha Tate;Sara McMann;Miesha Tate
Rafael Natal;Tom Watson;Rafael Natal
Thiago Santos;Andy Enz;Thiago Santos
Richardson Moreira;Ildemar Alcantara;Ildemar Alcantara
Kenny Robertson;Sultan Aliev;Kenny Robertson
Alexander Gustafsson;Anthony Johnson;Anthony Johnson
Andy Ogle;Makwan Amirkhani;Makwan Amirkhani
Akira Corassani;Sam Sicilia;Sam Sicilia
Dan Henderson;Gegard Mousasi;Gegard Mousasi
Phil Davis;Ryan Bader;Ryan Bader
Nicholas Musoke;Albert Tumenov;Albert Tumenov
Nikita Krylov;Stanislav Nedkov;Nikita Krylov
Mairbek Taisumov;Anthony Christodoulou;Mairbek Taisumov
Mirsad Bektic;Paul Redmond;Mirsad Bektic
Neil Seery;Chris Beal;Neil Seery
Viktor Pesta;Konstantin Erokhin;Viktor Pesta
Zhang Lipeng;Chris Wade;Chris Wade
Norman Parke;Gleison Tibau;Gleison Tibau
Conor McGregor;Dennis Siver;Conor McGregor
Donald Cerrone;Benson Henderson;Donald Cerrone
John Howard;Lorenz Larkin;Lorenz Larkin
Paddy Holohan;Shane Howell;Paddy Holohan
Uriah Hall;Ron Stallings;Uriah Hall
Cathal Pendred;Sean Spencer;Cathal Pendred
Johnny Case;Frankie Perez;Johnny Case
Charles Rosa;Sean Soriano;Charles Rosa
Matt Van Buren;Sean O'Connell;Sean O'Connell
Tateki Matsuda;Joby Sanchez;Joby Sanchez
Donald Cerrone;Myles Jury;Donald Cerrone
Shawn Jordan;Jared Cannonier;Shawn Jordan
Brad Tavares;Nate Marquardt;Brad Tavares
Hector Lombard;Joshua Burkman;
Marcus Brimage;Cody Garbrandt;Cody Garbrandt
Jon Jones;Daniel Cormier;Jon Jones
Kyoji Horiguchi;Louis Gaudinot;Kyoji Horiguchi
Danny Castillo;Paul Felder;Paul Felder
Omari Akhmedov;Mats Nilsson;Omari Akhmedov
Alexis Dufresne;Marion Reneau;Marion Reneau
Evan Dunham;Rodrigo Damm;Evan Dunham
Erick Silva;Mike Rhodes;Erick Silva
Lyoto Machida;CB Dollaway;Lyoto Machida
Antonio Carlos Junior;Patrick Cummins;Patrick Cummins
Renan Barao;Mitch Gagnon;Renan Barao
Tom Niinimaki;Renato Moicano;Renato Moicano
Daniel Sarafian;Antonio Dos Santos;Daniel Sarafian
Marcos Rogerio de Lima;Igor Pokrajac;Marcos Rogerio de Lima
Elias Silverio;Rashid Magomedov;Rashid Magomedov
Vitor Miranda;Jake Collier;Vitor Miranda
Leandro Issa;Yuta Sasaki;Leandro Issa
Marcio Alexandre Junior;Tim Means;Tim Means
Darren Elkins;Hacran Dias;Hacran Dias
Gabriel Gonzaga;Matt Mitrione;Matt Mitrione
Joe Riggs;Ben Saunders;Ben Saunders
John Moraga;Willie Gates;John Moraga
Rafael Dos Anjos;Nate Diaz;Rafael Dos Anjos
Alistair Overeem;Stefan Struve;Alistair Overeem
Claudia Gadelha;Joanna Jedrzejczyk;Joanna Jedrzejczyk
Jamie Varner;Drew Dober;Drew Dober
Junior Dos Santos;Stipe Miocic;Junior Dos Santos
David Michaud;Garett Whiteley;David Michaud
Joe Ellenberger;Bryan Barberena;Bryan Barberena
Anthony Birchak;Ian Entwistle;Ian Entwistle
Henry Cejudo;Dustin Kimura;Henry Cejudo
KJ Noons;Daron Cruickshank;
Felice Herrig;Lisa Ellis;Felice Herrig
Joe Proctor;Yancy Medeiros;Yancy Medeiros
Jeremy Stephens;Charles Oliveira;Charles Oliveira
Jessica Penne;Randa Markos;Jessica Penne
Carla Esparza;Rose Namajunas;Carla Esparza
Bec Rawlings;Heather Clark;Heather Clark
Joanne Calderwood;Seo Hee Ham;Joanne Calderwood
Aisling Daly;Alex Chambers;Aisling Daly
Tecia Torres;Angela Magana;Tecia Torres
Emily Kagan;Angela Hill;Angela Hill
Corey Anderson;Justin Jones;Corey Anderson
Todd Duffee;Anthony Hamilton;Todd Duffee
Tony Ferguson;Abel Trujillo;Tony Ferguson
Anthony Pettis;Gilbert Melendez;Anthony Pettis
Eddie Gordon;Josh Samman;Josh Samman
Travis Browne;Brendan Schaub;Travis Browne
Urijah Faber;Francisco Rivera;Urijah Faber
Johny Hendricks;Robbie Lawler;Robbie Lawler
Raquel Pennington;Ashlee Evans-Smith;Raquel Pennington
Sergio Pettis;Matt Hobar;Sergio Pettis
Alex White;Clay Collard;Clay Collard
Luke Barnatt;Roger Narvaez;Roger Narvaez
Frankie Edgar;Cub Swanson;Frankie Edgar
Jared Rosholt;Aleksei Oleinik;Aleksei Oleinik
Ruslan Magomedov;Josh Copeland;Ruslan Magomedov
Joseph Benavidez;Dustin Ortiz;Joseph Benavidez
Brad Pickett;Chico Camus;Chico Camus
Bobby Green;Edson Barboza;Edson Barboza
Matt Wiman;Isaac Vallie-Flagg;Matt Wiman
James Vick;Nick Hein;James Vick
Paige VanZant;Kailin Curran;Paige VanZant
Yves Edwards;Akbarh Arreola;Akbarh Arreola
Juan Manuel Puig;Dooho Choi;Dooho Choi
Fabricio Werdum;Mark Hunt;Fabricio Werdum
Ricardo Lamas;Dennis Bermudez;Ricardo Lamas
Jessica Eye;Leslie Smith;Jessica Eye
Alejandro Perez;Jose Quinonez;Alejandro Perez
Augusto Montano;Chris Heatherly;Augusto Montano
Yair Rodriguez;Leonardo Morales;Yair Rodriguez
Jake Ellenberger;Kelvin Gastelum;Kelvin Gastelum
Edgar Garcia;Hector Urbina;Hector Urbina
Henry Briones;Guido Cannetti;Henry Briones
Gabriel Benitez;Humberto Brown Morrison;Gabriel Benitez
Marco Beltran;Marlon Vera;Marco Beltran
Leandro Silva;Charlie Brenneman;Leandro Silva
Claudio Silva;Leon Edwards;Claudio Silva
Caio Magalhaes;Trevor Smith;Caio Magalhaes
Dhiego Lima;Jorge de Oliveira;Dhiego Lima
Warlley Alves;Alan Jouban;Warlley Alves
Mauricio Rua;Ovince Saint Preux;Ovince Saint Preux
Juliana Lima;Nina Ansaroff;Juliana Lima
Diego Rivas;Rodolfo Rubio Perez;Diego Rivas
Thomas Almeida;Tim Gorman;Thomas Almeida
Wagner Silva;Colby Covington;Colby Covington
Luke Rockhold;Michael Bisping;Luke Rockhold
Robert Whittaker;Clint Hester;Robert Whittaker
Richie Vaculik;Louis Smolka;Louis Smolka
Jake Matthews;Vagner Rocha;Jake Matthews
Soa Palelei;Walt Harris;Soa Palelei
Anthony Perosh;Guto Inocente;Anthony Perosh
Dylan Andrews;Sam Alvey;Sam Alvey
Ross Pearson;Al Iaquinta;Al Iaquinta
Jumabieke Tuerxun;Marcus Brimage;Marcus Brimage
Vik Grujic;Chris Clements;Chris Clements
Luke Zachrich;Daniel Kelly;Daniel Kelly
William Macario;Neil Magny;Neil Magny
Diego Ferreira;Beneil Dariush;Beneil Dariush
Darren Elkins;Lucas Martins;Darren Elkins
Glover Teixeira;Phil Davis;Phil Davis
Yan Cabral;Naoyuki Kotani;Yan Cabral
Scott Jorgensen;Wilson Reis;Wilson Reis
Fabio Maldonado;Hans Stringer;Fabio Maldonado
Jose Aldo;Chad Mendes;Jose Aldo
Fabricio Camoes;Anthony Rocco Martin;Anthony Rocco Martin
Gilbert Burns;Christos Giagos;Gilbert Burns
Felipe Arantes;Andre Fili;Andre Fili
Mitch Gagnon;Roman Salazar;Mitch Gagnon
Olivier Aubin-Mercier;Jake Lindsey;Olivier Aubin-Mercier
Nordine Taleb;Li Jingliang;Nordine Taleb
Rory MacDonald;Tarec Saffiedine;Rory MacDonald
Chad Laprise;Yosdenis Cedeno;Chad Laprise
Raphael Assuncao;Bryan Caraway;Raphael Assuncao
Daron Cruickshank;Anthony Njokuani;Daron Cruickshank
Elias Theodorou;Bruno Santos;Elias Theodorou
Paddy Holohan;Chris Kelades;Chris Kelades
Jason Saggo;Paul Felder;Paul Felder
Albert Tumenov;Matt Dwyer;Albert Tumenov
Pedro Munhoz;Jerrod Sanders;
Nicholas Musoke;Alexander Yakovlev;Nicholas Musoke
Cathal Pendred;Gasan Umalatov;Cathal Pendred
Akira Corassani;Max Holloway;Max Holloway
Dennis Siver;Charles Rosa;Dennis Siver
Gunnar Nelson;Rick Story;Rick Story
Magnus Cedenblad;Scott Askham;Magnus Cedenblad
Niklas Backstrom;Mike Wilkinson;Mike Wilkinson
Ilir Latifi;Jan Blachowicz;Jan Blachowicz
Tor Troeng;Krzysztof Jotko;Krzysztof Jotko
Mairbek Taisumov;Marcin Bandel;Mairbek Taisumov
Zubaira Tukhugov;Ernest Chavez;Zubaira Tukhugov
Dustin Poirier;Conor McGregor;Conor McGregor
Cat Zingano;Amanda Nunes;Cat Zingano
Jorge Masvidal;James Krause;Jorge Masvidal
Donald Cerrone;Eddie Alvarez;Donald Cerrone
Tim Kennedy;Yoel Romero;Yoel Romero
Demetrious Johnson;Chris Cariaso;Demetrious Johnson
Dominick Cruz;Takeya Mizugaki;Dominick Cruz
Patrick Cote;Stephen Thompson;Stephen Thompson
Manvel Gamburyan;Cody Gibson;Manvel Gamburyan
John Howard;Brian Ebersole;Brian Ebersole
Jon Tuck;Kevin Lee;Kevin Lee
Kiichi Kunimoto;Richard Walsh;Kiichi Kunimoto
Miesha Tate;Rin Nakai;Miesha Tate
Katsunori Kikuno;Sam Sicilia;Katsunori Kikuno
Mark Hunt;Roy Nelson;Mark Hunt
Yoshihiro Akiyama;Amir Sadollah;Yoshihiro Akiyama
Alex Caceres;Masanori Kanehara;Masanori Kanehara
Myles Jury;Takanori Gomi;Myles Jury
Kyoji Horiguchi;Jon Delos Reyes;Kyoji Horiguchi
Michinori Tanaka;Kyung Ho Kang;Kyung Ho Kang
Hyun Gyu Lim;Takenori Sato;Hyun Gyu Lim
Kazuki Tokudome;Johnny Case;Johnny Case
Maximo Blanco;Dan Hooker;Maximo Blanco
Antonio Silva;Andrei Arlovski;Andrei Arlovski
Iuri Alcantara;Russell Doane;Iuri Alcantara
Santiago Ponzinibbio;Wendell Oliveira Marques;Santiago Ponzinibbio
Jessica Andrade;Larissa Pacheco;Jessica Andrade
Gleison Tibau;Piotr Hallmann;Gleison Tibau
Leonardo Santos;Efrain Escudero;Leonardo Santos
Igor Araujo;George Sullivan;George Sullivan
Godofredo Pepey;Dashon Johnson;Godofredo Pepey
Paulo Thiago;Sean Spencer;Sean Spencer
Francisco Trinaldo;Leandro Silva;Francisco Trinaldo
Rani Yahya;Johnny Bedford;Rani Yahya
Chris Beal;Tateki Matsuda;Chris Beal
Joe Lauzon;Michael Chiesa;Joe Lauzon
Jacare Souza;Gegard Mousasi;Jacare Souza
Rafael Natal;Chris Camozzi;Rafael Natal
Matt Mitrione;Derrick Lewis;Matt Mitrione
John Moraga;Justin Scoggins;John Moraga
Al Iaquinta;Rodrigo Damm;Al Iaquinta
Alistair Overeem;Ben Rothwell;Ben Rothwell
Sean Soriano;Chas Skelly;Chas Skelly
Chris Wade;Cain Carrizosa;Chris Wade
Lorenz Larkin;Derek Brunson;Derek Brunson
Bethe Correia;Shayna Baszler;Bethe Correia
Ruan Potts;Anthony Hamilton;Anthony Hamilton
Ramsey Nijem;Diego Ferreira;Diego Ferreira
TJ Dillashaw;Joe Soto;TJ Dillashaw
Yancy Medeiros;Damon Jackson;Yancy Medeiros
Tony Ferguson;Danny Castillo;Tony Ferguson
Max Holloway;Clay Collard;Max Holloway
Francis Carmont;Thales Leites;Thales Leites
Mike Pyle;Jordan Mein;Jordan Mein
Chas Skelly;Tom Niinimaki;Chas Skelly
James Vick;Valmir Lazaro;James Vick
Neil Magny;Alex Garcia;Neil Magny
Beneil Dariush;Anthony Rocco Martin;Beneil Dariush
Benson Henderson;Rafael Dos Anjos;Rafael Dos Anjos
Aaron Phillips;Matt Hobar;Matt Hobar
Ben Saunders;Chris Heatherly;Ben Saunders
Wilson Reis;Joby Sanchez;Wilson Reis
Roland Delorme;Yuta Sasaki;Yuta Sasaki
Anying Wang;Colby Covington;Colby Covington
Tyron Woodley;Dong Hyun Kim;Tyron Woodley
Zhang Lipeng;Brendan O'Reilly;Zhang Lipeng
Michael Bisping;Cung Le;Michael Bisping
Sai Wang;Danny Mitchell;Sai Wang
Guangyou Ning;Jianping Yang;Guangyou Ning
Alberto Mina;Shinsho Anzai;Alberto Mina
Yao Zhikui;Royston Wee;Royston Wee
Elizabeth Phillips;Milana Dudieva;Milana Dudieva
Gray Maynard;Ross Pearson;Ross Pearson
Shawn Jordan;Jack May;Shawn Jordan
Thiago Tavares;Robert Peralta;Thiago Tavares
Sara McMann;Lauren Murphy;Sara McMann
Tim Boetsch;Brad Tavares;Tim Boetsch
Jussier Formiga;Zach Makovsky;Jussier Formiga
Ryan Bader;Ovince Saint Preux;Ryan Bader
Seth Baczynski;Alan Jouban;Alan Jouban
Tom Watson;Sam Alvey;Tom Watson
Nolan Ticman;Frankie Saenz;Frankie Saenz
Clay Guida;Dennis Bermudez;Dennis Bermudez
Mike de la Torre;Brian Ortega;
Robbie Lawler;Matt Brown;Robbie Lawler
Anthony Johnson;Rogerio Nogueira;Anthony Johnson
Hernani Perpetuo;Tim Means;Tim Means
Josh Thomson;Bobby Green;Bobby Green
Daron Cruickshank;Jorge Masvidal;Jorge Masvidal
Kyle Kingsbury;Patrick Cummins;Patrick Cummins
Akbarh Arreola;Tiago dos Santos e Silva;Tiago dos Santos e Silva
Andreas Stahl;Gilbert Burns;Gilbert Burns
Juliana Lima;Joanna Jedrzejczyk;Joanna Jedrzejczyk
Steven Siler;Noad Lahat;Noad Lahat
Gunnar Nelson;Zak Cummings;Gunnar Nelson
Ilir Latifi;Chris Dempsey;Ilir Latifi
Tor Troeng;Trevor Smith;Trevor Smith
Norman Parke;Naoyuki Kotani;Norman Parke
Conor McGregor;Diego Brandao;Conor McGregor
Neil Seery;Phil Harris;Neil Seery
Brad Pickett;Ian McCall;Ian McCall
Cathal Pendred;Mike King;Cathal Pendred
Cody Donovan;Nikita Krylov;Nikita Krylov
Paddy Holohan;Josh Sampo;Paddy Holohan
Lucas Martins;Alex White;Lucas Martins
Rick Story;Leonardo Mafra;Rick Story
Jessamyn Duke;Leslie Smith;Leslie Smith
Donald Cerrone;Jim Miller;Donald Cerrone
Edson Barboza;Evan Dunham;Edson Barboza
John Lineker;Alptekin Ozkilic;John Lineker
Gleison Tibau;Pat Healy;Gleison Tibau
Justin Salas;Joe Proctor;Joe Proctor
Yosdenis Cedeno;Jerrod Sanders;Yosdenis Cedeno
Hugo Viana;Aljamain Sterling;Aljamain Sterling
Claudia Gadelha;Tina Lahdemaki;Claudia Gadelha
Dhiego Lima;Eddie Gordon;Eddie Gordon
Justin Scoggins;Dustin Ortiz;Dustin Ortiz
Adriano Martins;Juan Manuel Puig;Adriano Martins
Jumabieke Tuerxun;Leandro Issa;Leandro Issa
Jesse Ronson;Kevin Lee;Kevin Lee
Derrick Lewis;Guto Inocente;Derrick Lewis
Corey Anderson;Matt Van Buren;Corey Anderson
Frankie Edgar;BJ Penn;Frankie Edgar
Patrick Walsh;Daniel Spohn;Patrick Walsh
Robert Drysdale;Keith Berish;
Sarah Moras;Alexis Dufresne;Sarah Moras
Chris Camozzi;Bruno Santos;Bruno Santos
Marcus Brimage;Russell Doane;Russell Doane
Urijah Faber;Alex Caceres;Urijah Faber
George Roop;Rob Font;Rob Font
Uriah Hall;Thiago Santos;Uriah Hall
Chris Weidman;Lyoto Machida;Chris Weidman
Ronda Rousey;Alexis Davis;Ronda Rousey
Kenny Robertson;Ildemar Alcantara;Kenny Robertson
Luke Zachrich;Guilherme Vasconcelos;Luke Zachrich
Kevin Casey;Bubba Bush;
Colton Smith;Diego Ferreira;Diego Ferreira
Johnny Bedford;Cody Gibson;Cody Gibson
Cub Swanson;Jeremy Stephens;Cub Swanson
Joe Ellenberger;James Moontasri;Joe Ellenberger
Cezar Ferreira;Andrew Craig;Cezar Ferreira
Ricardo Lamas;Hacran Dias;Ricardo Lamas
Kelvin Gastelum;Nicholas Musoke;Kelvin Gastelum
Aleksei Oleinik;Anthony Hamilton;Aleksei Oleinik
Marcelo Guimaraes;Andy Enz;Marcelo Guimaraes
Ray Borg;Shane Howell;Ray Borg
Clint Hester;Antonio Braga Neto;Clint Hester
Jake Matthews;Dashon Johnson;Jake Matthews
Neil Magny;Rodrigo de Lima;Neil Magny
Soa Palelei;Jared Rosholt;Jared Rosholt
Richie Vaculik;Roldan Sangcha'an;Richie Vaculik
James Te Huna;Nate Marquardt;Nate Marquardt
Hatsu Hioki;Charles Oliveira;Charles Oliveira
Chris Indich;Vik Grujic;Vik Grujic
Robert Whittaker;Mike Rhodes;Robert Whittaker
Dan Hooker;Ian Entwistle;Dan Hooker
Gian Villante;Sean O'Connell;Gian Villante
Rory MacDonald;Tyron Woodley;Rory MacDonald
Demetrious Johnson;Ali Bagautinov;Demetrious Johnson
Ryan Bader;Rafael Cavalcante;Ryan Bader
Andrei Arlovski;Brendan Schaub;Andrei Arlovski
Ovince Saint Preux;Ryan Jimmo;Ovince Saint Preux
Valerie Letourneau;Elizabeth Phillips;Valerie Letourneau
Yves Jabouin;Mike Easton;Yves Jabouin
Daniel Sarafian;Kiichi Kunimoto;Kiichi Kunimoto
Roland Delorme;Michinori Tanaka;Michinori Tanaka
Jason Saggo;Josh Shockley;Jason Saggo
Kajan Johnson;Tae Hyun Bang;Tae Hyun Bang
John Dodson;John Moraga;John Dodson
Benson Henderson;Rustam Khabilov;Benson Henderson
Yves Edwards;Piotr Hallmann;Piotr Hallmann
Diego Sanchez;Ross Pearson;Diego Sanchez
Bobby Voelker;Lance Benoist;Lance Benoist
Yaotzin Meza;Sergio Pettis;Sergio Pettis
Erik Perez;Bryan Caraway;Bryan Caraway
Rafael Dos Anjos;Jason High;Rafael Dos Anjos
Scott Jorgensen;Danny Martinez;Scott Jorgensen
Patrick Cummins;Roger Narvaez;Patrick Cummins
Jon Tuck;Jake Lindsey;Jon Tuck
Paulo Thiago;Gasan Umalatov;Gasan Umalatov
Rony Jason;Robert Peralta;Robert Peralta
Stipe Miocic;Fabio Maldonado;Stipe Miocic
Rodrigo Damm;Rashid Magomedov;Rashid Magomedov
Marcio Alexandre Junior;Warlley Alves;Warlley Alves
Demian Maia;Alexander Yakovlev;Demian Maia
Vitor Miranda;Antonio Carlos Junior;Antonio Carlos Junior
Elias Silverio;Ernest Chavez;Elias Silverio
Pedro Munhoz;Matt Hobar;Pedro Munhoz
Edimilson Souza;Mark Eddiva;Edimilson Souza
Ricardo Abreu;Wagner Silva;Ricardo Abreu
Marcos Rogerio de Lima;Richardson Moreira;Marcos Rogerio de Lima
Francis Carmont;CB Dollaway;CB Dollaway
Nick Hein;Drew Dober;Nick Hein
Vaughan Lee;Iuri Alcantara;Iuri Alcantara
Luke Barnatt;Sean Strickland;Sean Strickland
Mark Munoz;Gegard Mousasi;Gegard Mousasi
Tom Niinimaki;Niklas Backstrom;Niklas Backstrom
Peter Sobotta;Pawel Pawlak;Peter Sobotta
Magnus Cedenblad;Krzysztof Jotko;Magnus Cedenblad
Andy Ogle;Maximo Blanco;Maximo Blanco
Viktor Pesta;Ruslan Magomedov;Ruslan Magomedov
Michael Chiesa;Francisco Trinaldo;Michael Chiesa
Daniel Cormier;Dan Henderson;Daniel Cormier
Tony Ferguson;Katsunori Kikuno;Tony Ferguson
Takeya Mizugaki;Francisco Rivera;Takeya Mizugaki
Jamie Varner;James Krause;James Krause
Renan Barao;TJ Dillashaw;TJ Dillashaw
Robbie Lawler;Jake Ellenberger;Robbie Lawler
Chris Holdsworth;Chico Camus;Chris Holdsworth
Al Iaquinta;Mitch Clarke;Mitch Clarke
Anthony Njokuani;Vinc Pichel;Vinc Pichel
Sam Sicilia;Aaron Phillips;Sam Sicilia
David Michaud;Li Jingliang;Li Jingliang
Neil Magny;Tim Means;Neil Magny
Matt Brown;Erick Silva;Matt Brown
Soa Palelei;Ruan Potts;Soa Palelei
Erik Koch;Daron Cruickshank;Daron Cruickshank
Chris Cariaso;Louis Smolka;Chris Cariaso
Kyoji Horiguchi;Darrell Montague;Kyoji Horiguchi
Constantinos Philippou;Lorenz Larkin;Constantinos Philippou
Ed Herman;Rafael Natal;Ed Herman
Yan Cabral;Zak Cummings;Zak Cummings
